ICAO_Code,Subject Descriptor,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
C,GDP,116026.01699999999,118089.08600000001,118563.616,109762.137,115282.832,120484.10399999999,120606.904,120628.72200000001,121842.91200000001,122983.931,124151.69699999999,125497.74799999999,126698.712
C,GGE,113.03800000000001,113.97299999999998,114.089,136.91500000000002,124.005,116.41,117.266,117.038,115.293,113.994,113.464,113.27,113.051
C,population,38.631,39.153,39.694,40.16,40.361,41.013,42.125,43.032,43.571000000000005,44.097,44.611000000000004,45.113,45.619
D,GDP,47096.35099999999,47703.252,48262.476,46018.017,47316.925,48266.497,48863.675,49836.478,50765.535,51650.195,52499.649000000005,53353.48300000001,54221.572
D,GGE,192.48399999999995,196.92499999999998,195.008,225.649,219.846,230.685,212.85200000000003,218.709,212.707,212.06900000000002,212.428,213.086,214.09700000000004
D,population,360.20899999999995,369.49700000000007,378.913,388.078,397.7,407.55000000000007,417.67199999999997,427.965,438.437,449.095,459.93499999999995,471.003,482.3040000000001
E,GDP,646433.39,660717.885,673608.5159999998,662295.38,707332.5750000001,724745.3099999999,712612.262,716237.36,727293.0329999998,738317.9600000001,748947.8130000001,759598.599,770487.044
E,GGE,513.063,514.484,515.2149999999999,575.521,534.4129999999999,505.4910000000001,532.6750000000001,539.3789999999999,538.161,539.8779999999999,538.7120000000001,539.1800000000001,540.3340000000001
E,population,104.58000000000001,104.95100000000001,105.32499999999999,105.652,105.809,106.141,105.918,106.265,106.534,106.781,107.02600000000001,107.264,107.49000000000001
ED,GDP,53373.918,53737.434,54190.139,52072.463,53699.871,54276.022,53637.592,53700.277,54417.584,55235.418,55888.244,56397.068,56820.495
ED,GGE,44.175,44.321,45.003,50.462,50.937,49.477,48.267,47.778,47.765,47.597,47.625,47.622,47.781
ED,population,82.657,82.906,83.093,83.161,83.196,83.798,84.537,84.565,84.557,84.514,84.458,84.391,84.312
EG,GDP,46228.038,46597.567,47106.551,42047.585,45560.231,47181.051,47019.72,47020.791,47544.456,48180.617,48851.387,49469.177,50014.695
EG,GGE,39.157,38.872,38.734,49.937,45.883,44.422,44.665,44.055,43.587,43.34,43.177,43.137,43.065
EG,population,66.04,66.436,66.797,67.081,67.28,67.791,68.122,68.434,68.723,68.986,69.222,69.449,69.667
G,GDP,36301.863000000005,37256.653,38157.548,35249.453,36390.67799999999,37911.159,38814.00400000001,39908.356,41218.193,42311.216,43501.998999999996,44644.71000000001,45616.552
G,GGE,239.062,225.59699999999998,231.32699999999997,268.182,255.41499999999996,254.646,247.06,247.267,240.261,236.296,235.505,235.171,236.503
G,population,103.08299999999998,105.30300000000001,107.55999999999999,109.86600000000001,112.22000000000001,114.621,117.073,119.58000000000001,122.13400000000001,124.746,127.412,130.133,132.909
H,GDP,238498.997,240915.489,239013.062,216407.389,224604.055,231152.00300000003,234875.51599999997,239613.55500000002,244355.26799999998,248751.66100000005,253731.62899999996,258677.437,264137.943
H,GGE,850.3009999999999,823.971,837.3870000000002,886.4459999999999,860.5100000000001,850.147,846.6100000000001,853.4189999999998,840.2350000000001,827.781,814.4599999999999,803.178,792.9390000000002
