pair,2023,2024,2025,2026,2027,2028,2029,2030,2031
C_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_D,30.20761025075326,4932.597567154168,5861.285127057058,6016.459146466374,5952.846103581294,5895.87043781772,5673.579947321713,5552.190879502067,136.1610120049042
C_E,0.30100598955726676,354.26246762226987,372.7893569546272,375.55648882158755,378.0038168738581,381.4525580184012,384.47730451721003,385.72470410390923,7.916872387706002
C_ED,14.63327053999024,5918.172748234557,5289.443065917359,4484.583852800294,3815.518780990308,3343.4950782686474,2913.5432548139534,2970.64452492483,26.39955911063002
C_EG,1.8930268147732168,1545.8598730574706,1871.9345228425805,2141.3337558484727,2412.548066430562,2690.748485918782,2955.239283577195,3225.303121322391,40.89802498121351
C_G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_H,30.381053628395307,10514.6683584773,11760.390482515033,13017.170169780673,14232.775275929645,15477.187441831944,16557.92095274619,16942.209890725928,246.92381837132857
C_K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_L,28.711629725308345,27405.50273349718,30285.283378074164,32988.2733169741,35599.85745460013,38249.08966847301,40690.48432004477,39840.83795702524,342.5354036873716
C_LE,20.019955119042088,20643.913058975533,22330.731820203448,23748.04543103646,25207.703526533332,26582.80144348223,27681.524237960282,26364.50238319335,244.11861432694542
C_LF,233.80061190813578,104848.37885422536,111562.60781750001,119627.71727023316,125121.07014205292,130793.59452485133,135986.351639948,135827.84098125363,1568.2464857132654
C_LI,112.76515731800356,88488.50725843963,100029.28051148154,109421.074965773,117708.90453438103,125059.4369716632,131743.65302281163,135063.19278209528,1446.2770897576477
C_LP,0.15358232890499646,141.05341187159854,142.12415524067083,153.22800194083328,164.3321403596098,175.81010402119688,186.57046513461094,197.67405210975028,0.7882778025462651
C_LS,96.1684203811926,34552.207703085754,34878.586433552686,34740.872041280396,35183.80102013761,34936.49898167761,35173.757176502186,34973.06550527651,431.4769460800768
C_MS,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
C_O,31.877611569788822,14281.022200850744,15284.559700204034,16055.989233245906,16622.46550912701,17445.08108441611,18278.911419561606,18950.419642872082,257.87478857385906
C_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_Y,41.0,15006.0,14965.0,14965.0,14965.0,15006.0,14965.0,14965.0,205.0
C_Z,10.16533958951571,2953.6082500916123,3086.5552669359363,3557.5217234194147,4028.4923170637467,4509.193161911008,4971.734131169667,5446.83186671651,74.69131372455803
D_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_E,281.8667576861398,124396.62493188438,135664.34117270503,142490.23582692113,148557.9161708555,154565.34962071528,159493.14542712955,158052.62741603528,2045.6074487822189
D_ED,73.47577279943215,35287.45930541297,40085.09883618608,44294.65623846582,47515.58708436701,50199.80948570542,52106.626049806444,52567.795646956634,693.3988287498449
D_EG,346.4979050581187,134711.85658666684,153716.23402936017,167600.8486523125,180293.30412996374,192657.06356947028,203833.82983799407,211482.37085258815,2921.3187638207464
D_G,14.271013662077845,4546.147726689655,4859.287334369045,5352.254078348838,5845.2302772160165,6355.7324462554525,6832.5475832004695,7324.3953213580635,100.77781570688563
D_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_L,14.252771037774853,3580.653532944645,4327.271820521174,4765.64494159772,5124.546734942663,5512.399226476729,5847.242141278149,5058.580263598035,68.21713741841248
D_LE,2.494049176414919,1059.0808785575957,886.2395416078896,685.4876196102937,489.5495584611545,292.14515980145495,92.34971241307629,-107.74889266999126,-3.2399854885345127
D_LF,2053.666038163716,768471.6832102108,876782.2833427779,966221.98762064,1041589.8646317461,1119450.7125883219,1198712.6688236492,1199272.8032810027,16605.29915829518
D_LI,22.28595112472623,8729.821128933645,9896.788942772839,10233.995372125328,10444.41686416382,10603.23055271364,10697.078578934603,10929.30459024523,161.51703747082297
D_LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_LS,27.75334694855033,12527.28379744169,13878.38498321438,14973.973324929932,16271.48242485314,17373.86250681122,18642.17764927563,17860.427542667276,241.9965166336142
D_MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_O,0.4510526574110223,751.4795705647279,924.1219975138735,1002.3477131774846,1082.1275435789319,1164.861698560296,1239.9968552959717,1318.9017259602363,22.90538611583271
D_U,-0.6933540124085267,279.2389132714707,211.09124272002586,152.53074739895288,95.3785179818947,33.1325200112984,-24.42304769603059,-83.1782988193194,-5.308546053808581
D_Y,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
D_Z,3.5466903966752463,696.8177613593193,602.491737574094,539.3002596150187,475.3991956412813,409.99390883976713,345.1167565148708,277.8039334046866,5.076659582728164
ED_ED,-1.1652233882081582,277.8303428404886,326.41437228289743,328.53659740825145,331.5280522813017,334.93105243315506,337.5620229479067,341.24555015811364,-0.20241027773409714
ED_EG,29.326821700724643,7966.397016012516,7319.615235344554,6652.544444754047,5864.567907187232,5035.146152792147,4064.120628890772,2841.8511878613767,59.39322822168934
ED_G,1702.6121780267572,422739.1030380039,384721.0774923414,340880.8418104018,304167.0154959546,274638.87024640973,239395.62860393166,202985.76504106435,4460.4990510427
ED_H,90.03241989915271,31508.263958234646,31072.0655327839,30717.35380894387,30185.381947961225,29757.28718476992,29065.289876377596,26501.692340115504,362.6674111363536
ED_K,212.3435088822168,72725.76386577747,71619.85272815068,71389.06341920118,71624.52131724643,72513.8824215442,73614.20531862126,85200.3846184126,1269.8384340120388
ED_L,0.756684200244,710.3413427367044,454.4547127462568,215.69246003086502,-20.510585286585464,-263.05126865958596,-499.54328298854705,-737.3330136044677,-15.236594999263069
ED_LE,2315.188175381849,1119452.3795436446,1067669.040992329,1014841.1685384937,980077.3721676847,947990.2470895651,911552.523088199,947225.7089570304,8783.034301989217
ED_LF,373.83551241042676,243167.7152895931,232634.85898187067,223910.04541582134,211417.4557078249,198423.7751303472,182757.81584195342,177795.96533591408,1635.0939978192484
ED_LI,0.18657953384417425,11613.159033185886,12603.380047729677,13709.720108428133,14328.079359596213,14614.864576642338,14578.84924634088,13861.678072666426,58.007398960101014
ED_LP,975.909928939695,350577.20136840054,344484.68181608664,326698.68226748274,311425.2702426393,295993.59820531914,278728.38963433926,279053.1337664526,3435.4471443599596
ED_LS,7.150836173409418,7380.159990494076,8004.406253995876,8844.201261938719,9379.493452696628,9370.890956305839,9265.855844434347,8742.120697783614,69.13439757980488
ED_MS,465.0086610199885,125828.86832369477,123370.43029291219,120253.74623486934,116442.4226939075,112284.70744907905,106189.54744353007,99493.25488129932,1736.2086955660109
ED_O,2.0668856155715476,77.13792365453548,75.96360465911745,75.97880416295153,75.99402816255508,76.75411813690276,76.02447683515668,76.03968031410551,0.014245752698378522
ED_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ED_Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ED_Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG_EG,27.897056520375052,19606.89277979695,20260.502837138665,20682.312472489964,20972.21927835413,21133.562248690763,21280.23389838169,21173.569080560763,226.55714416834232
EG_G,1495.9993375278418,531028.1371058805,592367.5349049018,644305.8814315606,701665.9822794993,758462.2846731131,801919.8779238863,796197.3811699022,11668.447630523979
EG_H,570.5869187712728,258474.6351695982,282407.1526274863,298753.24902467924,316966.39887847565,339389.9432485236,368587.0295603578,367227.12371277256,5281.50845435051
EG_K,6.268476790950025,1088.1481159984776,105.3404535635683,-809.797348107682,-1653.5068041379598,-2614.353090763367,-3430.174736045133,-4068.0225922773857,-64.29323884831864
EG_L,806.411166346548,441702.55953542417,479373.65234838205,513665.416161129,546120.7831513833,574468.8933694204,597666.0527167862,622233.1840818343,6645.900441783329
EG_LE,3173.3448644226196,1873708.091202556,1955690.6569052227,2006590.749232,2110949.8567610974,2180675.300837479,2224918.2092485297,2223124.0901478906,21472.445065764285
